"lat","lng","name","url","descr","access","waves","wind","positives","negatives","level","bottom"
"44.7153","-1.25142","Le Truc Vert","/surf-info/le-truc-vert-s45.html","La presqu'île du Cap-Ferret, coincée entre le Bassin d'Arcachon et l'Océan, est certes peu accessible mais séduit par cette particularité géographique qui se traduit aussi par des bancs de sable très instables. Crapahutez dans les dunes (sur les chemins autorisés) et checkez sans relâche ; vous tomberez peut-être sur un de ces spots fugaces que vous seuls aurez la chance d'avoir dans des conditions classiques.","Depuis Lège Cap-Ferret, prendre la D106 vers le sud et direction Truc Vert bien indiqué mais il y a plusieurs accés en caillebottis de part et d'autre du camping. Beaucoup d'espace au nord et au sud.","E","NO","- les bancs","- forts courants, - manque de consistance en été","Tous niveaux","Sand"
"43.4959","-1.54534","VVF, Anglet","/surf-info/vvf-anglet-s1209.html","Grâce à son accès facile et son abri par vent du sud, ce spot présente une excellente alternative dans la région. Le surf y est pratiqué en masse du fait de la protection de la falaise contre le vent de sud. Cette dernière sert également de brise-lames naturel, les vagues y étant souvent plus petites que sur le nord d'Anglet. Le spot fonctionne mieux à marée basse, et fournit des droites comme des gauches. En remontant vers le Nord d'Anglet, on trouve d'autres pics intéressants mais qui fonctionnent très peu à marée haute (trop de volume d'eau).Attention à la dalle non loin de la première digue, à droite, on ne l'aperçoit que à marée basse.   ","Par le ""BAB"" (Bayonne / Anglet / Biarritz), prendre la direction de Biarritz puis d'Anglet Océan. Suivre ensuite Chambre d'Amour, vous arriverez ainsi sur les parkings bordant l'océan.A proximité se trouve l'aéroport du B.A.B et les gares de Biarritz et Bayonne. ","E","ONO","- Accès facile, - La digue permet une bonne rentrée de la houle, - De nombreux parkings, des snacks et des douches sont présents sur le site","- Fréquentation importante de par sa facilité d'accès et également par le peu de distance qui sépare ce spot des villes de Bayonne et Biarritz, - Baïne présente au pied de la falaise, - Dalle dans l'eau sur le côté droit de la plage  ","Expérimenté","Sand"
"47.7603","-3.52493","Plage De La Falaise, Guidel","/surf-info/plage-falaise-guidel-s1025.html","Très bon spot en général cependant il marche moins bien que ses voisins comme La Torche et Quiberon en raison de son ""enclavement"". Les vagues peuvent être propres et creuses suivant les conditions de vent et les bancs de sables. Elles sont la plupart du temps de petite taille et moyennement puissante. La saison de septembre / octobre offre les plus belles conditions comme sur les autres spots Français en raison des houles dites ""cycloniques"" qui arrivent tout droit de l'Atlantique Ouest et des caraïbes.","L'accès par la route côtière est rapide depuis Lorient mais à éviter en été. Sinon, par la voie express puis Guidel et suivre Guidel Plage.Aussi : - Aéroport de Lann Bihoué pas très loin - En train, gare de Lorient, puis bus","NE","SSO","- Accès facile- Tous commerces à proximité- Diversité des spots- Spot pour tous niveaux- Nombreux campings","- Affluence- Les bouchons pour accéder en été- Fréquence des vagues","Tous niveaux","Sand / Reef"
"49.6833","0.162649","Antifer","/surf-info/antifer-s994.html","Le spot se situe sur la plage de Saint-Jouin Bruneval, à proximité du terminal pétrolier d?Antifer. Comme la plupart des spots de Haute-Normandie, c?est une plage de galets à marée haute et de sable à marée basse. Méfiez-vous de la digue du port, qui lorsque le vent baisse, peut créer un courant très important. Antifer est un bon spot par vent de Sud-Ouest.","La gare du Havre est à proximité pour les visiteurs qui ne sont pas du coin !","ESE","O","- La seule plage de sable à marée basse dans le secteur, - Parking gratuit","- La digue du port, soyez vigilent, - Le port pétrolier tout près","Débutant / Intermédiaire","Sand"
"47.9975","-4.54155","La Gamelle, Audierne","/surf-info/la-gamelle-audierne-s1154.html","Très bon spot de repli qui marche par forte houle. On y trouve une droite creuse et courte et une gauche rapide et longue qui déroule. Attention à marée basse, la gauche flirte avec le reef et rend parfois la vague impraticable.","- Aéroport de Quimper à proximité","NNO","OSO","- Spot de repli, - Marche assez souvent, - Spot dans la ville, accès facile","- Le reef","Expérimenté","Reef"
"48.0468","-4.70965","Baie Des Trépassés","/surf-info/baie-trepasses-s996.html","Un bon beachbreak au bout de la Pointe du Raz avec un nom à faire frémir les plus endurcis. En tous cas, c'est le spot le plus froid du Finistère. Au large circulent des courants extrêment forts mais le fond de baie est généralement calme. 800m de large, pas besoin de jouer des coudes !","La baie des Trépassés est enserrée entre la pointe du Raz et la Pointe du Van, et se trouve sur les communes de Plogoff et de Cléden-Cap-Sizun (territoire du Cap Sizun). De Plogoff, suivre la D 784 en direction de Lescoff. Puis suivre La Baie des Trépassés, c'est indiqué.","ESE","ONO","- Spot qui marche assez souvent, - Pas grand monde à l'eau en hiver","- Courants, - Baïne, - Attention aux débutants","Tous niveaux","Sand"
"47.2658","-2.4549","La Govelle","/surf-info/la-govelle-s1036.html","La Govelle est un spot de surf situé dans le 44, à Batz sur mer. A quelques minutes de La Baule, ce spot de surf est l?un des plus connu de la Loire Atlantique.","Direction Batz-sur-mer puis côte sauvage en descendant vers La Baule, au niveau du panneau ""camping de La Govelle"" , c'est la petite plage juste à côté.","NE","SO","- Capte bien la houle","- Attire beaucoup de monde, - Gros reef sur le peak sud","Intermédiaire","Reef"
"46.1874","-1.42154","La Couarde","/surf-info/la-couarde-s1034.html","La plage de La Pergola à La Couarde sur Mer est réputée pour son spot de surf. Elle est située à l'extrémité sud de la Couarde à côté de la guinguette qui porte le même nom. Le haut fond rocheux y façonne des vagues très cassantes.","Direction La pergola une fois arrivé à la Couarde","ENE","S","- Rouleaux bien creux","- Attention à la digue","Tous niveaux","Sand"
"43.4021","-1.71259","Belharra","/surf-info/belharra-s997.html","Belharra ne déferle que rarement et surtout ne se surfe pas à l'improviste. Ce spot est inaccessible à la rame et nécessite une excellente condition physique pour être ridé. Même un niveau confirmé est loin d'être suffisant pour envisager une sortie sur Belharra. Seuls des professionnels, encadrés d'une équipe de sécurité compétente et entrainée peuvent, après un travail d'observation des conditions météo locales, envisager de se rendre sur Belharra. Du surf de gros, pour des pro... Cependant, ça reste sympa de regarder le spectacle du haut de la falaise de la Corniche Basque !","Suivre Saint-Jean-de-Luz puis Socoa, au sud-ouest de la baie de Saint-Jean-de-Luz. L'accès au spot se fait en bateau ou jet ski.","E","O","- Vague énorme !, - Peu de monde et ça se comprend...","- Courant, - Récif, - Puissance, - Absence de secours à proximité","Pro","Reef"
"43.4654","-1.57382","La Milady, Biarritz","/surf-info/la-milady-biarritz-s1211.html","La grande plage est la plage de référence pour tous les surfeurs biarrots adeptes de vagues puissantes et courtes. Il faut un minimum de houle pour réveiller ces bancs de sable, que ce soit la Gauche du Channing (rocher) ou la droite du milieu (plus ou moins alignée à la Roche Plate au large). On peut aussi surfer devant l'Hôtel du Palais. En cas de tempête, le spot reste surfable notamment à mi-marée. Un peu plus au sud se trouve le spot de la Côte des Basques.  ","Parking souterrain payant du casino à 1 minute de la plage.  ","E","O","- Le plan d?eau reste propre par Sud, Sud Ouest,  ","- Petite plage et la zone de surf est réduite l?été, - Quelques rochers , - Accès à sens unique et parking payant seulement à proximité , - Très touristique en période estivale","Tous niveaux","Sand"
"43.431","-1.59942","Uhabia, Bidart","/surf-info/uhabia-bidart-s1215.html","Souvent de bons pics en droites comme en gauches au nord. Des vagues qui déroulent sur du sable et des rochers pouvant offrir de bons rides. On trouve aussi une bonne droite creuse plus près du bord plus au sud. Cette vague tendue offre de bonnes sections barrel. Attention au reef qui se découvre à marée basse. Lorsque les conditions favorisent le spot, vous ne serez pas le seul à l'eau...","Depuis Biarritz, passez la plage de la Milady, puis suivez l?avenue de Biarritz jusqu?à Bidart, vous arriverez devant la plage de Bidart. Par l?autoroute A63, prenez la sortie 4 Biarritz la Négresse/Biarritz aéroport/Bidart.","E","NO","- Vagues creuses, - Fonctionne le mieux sur le remontant ","- Courants forts, - Baïne, - Surpeuplé en été, - Dalles rocheuses, reef","Tous niveaux","Sand"
"44.447","-1.26012","Biscarrosse","/surf-info/biscarrosse-s1000.html","Biscarrosse plage est un spot typiquement landais, puissant et tubulaire par vent de terre, c'est un vrai spot de bancs de sable. Le cadre est très sympathique dès que l'on s'éloigne du centre avec des forêts de pins à perte de vue. Le spot est quand même à appréhender avec précaution. De forts courants et des baïnes puissantes sont à surveiller ainsi que des vagues également puissantes pouvant surprendre les débutants et intermédiaires (même les plus expérimentés...). ","Depuis Bordeaux, prendre l'A63 puis l'A660 en direction du bassin d'Arcachon. Prendre la N250 et enfin la D259 qui longe la côte vers Biscarrosse (via Sanguinet). Biscarrosse plage est ensuite indiqué.","E","ONO","- Bon bancs de sable, - Vagues tubulaires, - Vagues relativement puissantes","- Forts courants , - Baïnes importantes, - Grande fréquentation en saison (station balnéaire) ","Intermédiaire","Sand"
"43.5227","-1.52505","Les Cavaliers, Anglet","/surf-info/les-cavaliers-anglet-s1204.html","","","","","","","",""
"48.3595","-4.48351","Brest","/surf-info/brest-s1002.html","Le petit Minou est le spot relativement consistant le plus proche de Brest. Minou, ""embouchure"" en breton, est une plage de sable et rochers située sur la commune de Plouzané dans le Finistère. Prise en tenaille entre la pointe du Grand Minou à l'ouest et du Petit Minou à l'est, elle marque l'entrée du goulet de Brest et donne sur la presqu'île de Crozon au sud. Ce spot est très prisé des surfeurs et bodyboardeurs pour ses vagues creuses et puissantes.","Suivre la D789 puis prendre la route du Minou, vous trouverez un petit parking devant le spot.","NNE","OSO","- Vagues creuses et puissantes","- Spot très fréquenté, attention aux priorités, - rochers","Tous niveaux","Sand"
"46.6247","-1.87773","Brétignolles","/surf-info/bretignolles-s1003.html","La Sauzaie est « Le » spot référence de la région. Ce spot de « reef » offre de jolis « peaks » surfables uniquement à mi-marée et à marée haute. A la Sauzaie, les vagues rivalisent largement avec les vagues landaises et basques. Régulièrement entre 1 et 2 mètres de haut, elles permettent aux surfeurs d'enchaîner les figures à moins de 20 mètres de la côte.Reporteurs Surf-Report : Keep Cool Surfing","Corniche entre Bretignolles et St Gille Croix de Vie, lieu-dit La Sauzaie","ENE","O","- L'un des rares spots de reef en France !","- La difficulté, - du monde, - Reef","Expérimenté","Reef"
"43.0878","5.80695","Brutal Beach, Six Fours","/surf-info/brutal-beach-six-fours-s1004.html","La plage de Bonnegrâce à Six-Fours-les-Plages, aussi appelée ''Brutal Beach'', accueille pas mal de houles différentes sur un cordon de plages de près d'un kilomètre séparées par des jetées. Les meilleures vagues déroulent vers la digue de l'Est, à côté du nouveau petit port. C'est un peu dans tous les sens quand le mistral souffle fort, mais ça devient bon dès qu'il se calme. ","A 13 km du centre de Toulon, dans le centre de Six-Fours prenez l'avenue de la Mer ou passez par Sanary-sur-Mer, non loin de Bandol. Ou sortie « La Seyne » sur l'Autoroute. Se garer le long de l'avenue de Gaulle devant la mer.","ONO","OSO","- Vague facile","- Beaucoup de windsurfeurs, - Projet de digue ?","Tous niveaux","Sand"
"46.3917","-1.49843","Bud Bud","/surf-info/bud-bud-s1005.html","Bud Bud est peut-être le plus beau spot du département, probablement parce qu?on y trouve des vagues qui peuvent tuber comme un bon beach break Landais. On s?y croirait : une immense forêt de pins maritimes, des dunes de sable et une plage rectiligne à perte de vue.","A 5km de Longeville au sud, à l'entrée du village des Conches.","ENE","NO","- Très bon beach break, - La bonne ambiance sur le spot","- Le monde en été , - Baigneurs","Tous niveaux","Sand"
